leaf.length,leaf.width,flower.length,flower.width,plant
4.4,2.9,1.4,0.2,Arctica
4.6,3.1,1.5,0.2,Arctica
4.6,3.4,1.4,0.3,Arctica
4.7,3.2,1.3,0.2,Arctica
4.9,3,1.4,0.2,Arctica
4.9,3.1,1.5,0.1,Arctica
4.9,2.4,3.3,1,Harlequin
4.9,2.5,4.5,1.7,Carolinian
5,3.6,1.4,0.2,Arctica
5,3.4,1.5,0.2,Arctica
5.1,3.5,1.4,0.2,Arctica
5.2,2.7,3.9,1.4,Harlequin
5.4,3.9,1.7,0.4,Arctica
5.5,2.3,4,1.3,Harlequin
5.7,2.8,4.5,1.3,Harlequin
5.8,2.7,5.1,1.9,Carolinian
6.3,3.3,4.7,1.6,Harlequin
6.3,3.3,6,2.5,Carolinian
6.3,2.9,5.6,1.8,Carolinian
6.4,3.2,4.5,1.5,Harlequin
6.5,2.8,4.6,1.5,Harlequin
6.5,3,5.8,2.2,Carolinian
6.6,2.9,4.6,1.3,Harlequin
6.7,2.5,5.8,1.8,Carolinian
6.9,3.1,4.9,1.5,Harlequin
7,3.2,4.7,1.4,Harlequin
7.1,3,5.9,2.1,Carolinian
7.2,3.6,6.1,2.5,Carolinian
7.3,2.9,6.3,1.8,Carolinian
7.6,3,6.6,2.1,Carolinian
